ra,dec,umag,eu,bmag,eb,vmag,ev,gmag,eg,rmag,er,imag,ei,zmag,ez,kmag,ek,zp_best,zl68_gal,zu68_gal,Origin,SpecRA,SpecDEC,z_spec,Q_f,SpecOrigin,Outlier,I_FWHMArea,Z_FWHMArea,R_FWHMArea,G_FWHMArea
149.85566,1.707975,24.192,0.047,23.617,0.038,23.111,0.026,23.649,0.034,22.642,0.021,21.642,0.013,21.212,0.012,19.805,0.01,0.722,0.71,0.73,mag25lim,149.8557,1.707932218,0.7354,4.0,publicSpecZ,0,47,39.0,66.0,39.0
149.85581000000005,2.270452,24.756,0.06,24.428,0.057,24.334,0.048,24.589,0.054000000000000006,24.05,0.041,23.208,0.027000000000000003,22.339,0.022,20.532,0.013,1.1909999999999998,1.14,1.21,mag25lim,149.8558291,2.2704720380000003,1.2801,4.0,publicSpecZ,0,13,14.0,39.0,14.0
149.85583,2.858298,25.51,0.129,24.986,0.079,24.55,0.058,25.042,0.076,23.93,0.039,22.802,0.023,22.0,0.019,20.405,0.014,0.958,0.95,0.97,mag25lim,149.855835,2.858373,0.981,4.0,DEIMOS,0,10,10.0,24.0,10.0
149.85602,2.526149,24.715,0.061,24.147,0.05,23.992,0.042,24.299,0.049,23.916,0.038,23.613000000000003,0.034,23.378,0.048,21.844,0.042,1.669,1.59,1.73,mag25lim,149.85603799999996,2.526129,1.134,9.0,DEIMOS,0,37,27.0,37.0,27.0
149.85605,2.520312,24.38,0.051,24.113000000000003,0.049,24.054,0.043,24.279,0.048,23.876,0.037000000000000005,23.287,0.029,23.055,0.037000000000000005,22.825,0.102,0.779,0.77,0.79,mag25lim,149.85614040000004,2.520279646,0.6678367,2.0,publicSpecZ,0,22,22.0,31.0,22.0
149.85616000000005,2.112129,25.121,0.075,24.373,0.056,23.538,0.032,24.347,0.049,22.854,0.022,21.88300000000001,0.014,21.369,0.012,20.071,0.01,0.642,0.63,0.65,mag25lim,149.85618190000002,2.11212885,0.6578425999999999,4.0,publicSpecZ,0,17,17.0,25.0,17.0
149.85645,1.604708,24.906,0.0897,23.9332,0.0432,23.1963,0.0261,23.9274,0.0382,22.5085,0.0186,21.8993,0.014,21.5067,0.0135,20.3349,0.0716,0.54,0.47,0.58,Cosmos2006,149.8564,1.604708,0.516,4.0,DEIMOS,0,18,18.0,36.0,18.0
149.85648999999995,1.856939,25.179,0.08,24.48,0.06,23.896,0.039,24.583,0.059,23.56900000000001,0.033,23.146,0.027000000000000003,22.967,0.037000000000000005,22.629,0.07200000000000001,0.441,0.43,0.45,mag25lim,149.8565111,1.856909526,0.4444,4.0,publicSpecZ,0,12,11.0,21.0,11.0
149.85654,2.534145,26.128,0.153,24.814,0.07,23.245,0.028,24.438,0.052000000000000005,22.477,0.019,21.199,0.01,20.63,0.01,19.145,0.01,0.727,0.72,0.74,mag25lim,149.85657759999995,2.534132369,0.7285,4.0,publicSpecZ,0,14,14.0,27.0,14.0
149.85656,2.130229,25.169,0.07400000000000001,24.648000000000003,0.064,24.681,0.058,24.99,0.069,24.436,0.05,24.066,0.042,23.499,0.046,22.042,0.039,1.452,1.36,1.49,mag25lim,149.85656699999996,2.130228,1.4345,3.0,DEIMOS,0,12,13.0,19.0,9.0
149.85676,2.2932360000000003,23.634,0.033,22.443,0.022,21.371,0.011,22.389,0.018000000000000002,20.727,0.01,20.244,0.01,19.749,0.01,18.657,0.01,0.35200000000000004,0.34,0.36,mag25lim,149.8567993,2.293212206,0.35777420000000004,4.0,publicSpecZ,0,15,17.0,25.0,17.0
149.85693,2.6776020000000003,25.915,0.138,25.197,0.087,24.509,0.056,25.181,0.08199999999999999,23.922,0.038,22.924,0.024,22.391,0.023,20.752,0.018000000000000002,0.769,0.75,0.78,mag25lim,149.85695780000003,2.677581657,0.50970143,2.0,publicSpecZ,0,14,18.0,20.0,18.0
149.85706000000005,2.015545,24.6422,0.0563,23.9737,0.0438,23.1764,0.0259,23.9156,0.0375,22.4447,0.0182,21.5804,0.0117,21.1973,0.0113,20.0665,0.0716,0.68,0.63,0.7,Cosmos2006,149.8570867,2.015538079,0.6458269,3.0,publicSpecZ,0,14,16.0,23.0,16.0
149.85712,2.754148,23.992,0.044,23.709,0.04,23.622,0.034,23.833,0.037000000000000005,23.342,0.029,22.804,0.023,22.532,0.026,22.197,0.068,0.7559999999999999,0.74,0.77,mag25lim,149.8571293,2.754160419,0.7538,9.0,publicSpecZ,0,24,32.0,49.0,32.0
149.85738,2.734941,24.4822,0.0608,23.7994,0.0404,23.177,0.0258,23.7822,0.0358,22.9992,0.0236,22.6932,0.0209,22.5163,0.0258,22.129,0.5896,0.29,0.21,0.34,Cosmos2006,149.8574093,2.73493546,0.19064172,2.0,publicSpecZ,0,27,26.0,34.0,26.0
149.85753,1.6625740000000002,25.37,0.102,23.877,0.044,22.89,0.023,23.779,0.037000000000000005,22.266,0.017,21.734,0.013,21.426,0.013,20.497,0.013,0.379,0.36,0.39,mag25lim,149.8575581,1.662543918,0.3874,1.0,publicSpecZ,0,16,19.0,27.0,19.0
149.85761000000005,2.108345,24.465,0.052000000000000005,24.13300000000001,0.05,24.209,0.045,24.389,0.05,24.245,0.047,24.173,0.045,23.88300000000001,0.068,23.649,0.181,1.456,1.36,1.54,mag25lim,149.85762,2.108436,1.4845,4.0,DEIMOS,0,13,15.0,19.0,15.0
149.85766,2.025107,24.49,0.052000000000000005,24.047,0.048,23.95300000000001,0.04,24.21,0.046,23.93,0.04,23.673,0.035,23.302,0.047,22.188,0.053,1.107,1.09,1.12,mag25lim,149.8576961,2.025098321,1.4738,2.0,publicSpecZ,0,8,10.0,13.0,10.0
149.85796000000005,1.863906,23.905,0.039,22.894,0.027000000000000003,22.337,0.018000000000000002,22.862,0.023,22.128,0.016,21.787,0.013,21.574,0.015,21.19,0.022,0.107,0.1,0.12,mag25lim,149.8579825,1.863880433,0.4757,1.0,publicSpecZ,0,30,31.0,38.0,31.0
149.85798,2.131847,99.0,28.7,26.5863,0.1941,25.1834,0.0772,25.984,0.123,24.5,0.0521,22.6429,0.0196,21.7948,0.0153,21.4643,0.2383,1.46,1.36,2.1,Cosmos2006,149.85797580000005,2.131827906,0.8448197000000001,2.0,publicSpecZ,0,7,9.0,14.0,9.0
149.85851,2.277258,24.346,0.048,23.783,0.041,23.097,0.025,23.797,0.036000000000000004,22.775,0.022,22.4,0.018000000000000002,22.112,0.02,21.507,0.029,0.383,0.37,0.4,mag25lim,149.8585494,2.277261742,0.39177436,3.0,publicSpecZ,0,15,16.0,22.0,16.0
149.85866,2.622214,26.4506,0.2042,25.4126,0.0956,24.2105,0.0446,25.3367,0.0868,23.5264,0.0308,22.483,0.0184,22.0308,0.0185,21.103,0.2032,0.67,0.63,0.7,Cosmos2006,149.8586801,2.622206393,0.7027,3.0,publicSpecZ,0,9,9.0,17.0,9.0
149.85871,2.122701,27.3372,0.3764,26.561,0.1911,25.831,0.1194,26.1536,0.1391,25.3034,0.0853,24.5556,0.0559,23.536,0.0496,22.3953,0.5069,1.14,1.09,1.26,Cosmos2006,149.85870400000005,2.122701,1.2476,2.0,DEIMOS,0,7,14.0,24.0,14.0
149.85883,2.059414,23.79,0.036000000000000004,23.385,0.034,22.957,0.024,23.413,0.03,22.51,0.019,21.831,0.013,21.516,0.013,20.302,0.011,0.706,0.69,0.72,mag25lim,149.8588577,2.0594181000000003,0.66588813,3.0,publicSpecZ,0,14,16.0,18.0,16.0
149.85884,1.78265,24.75800000000001,0.062,23.673,0.04,23.016,0.025,23.584,0.033,22.783,0.022,22.459,0.019,22.195,0.021,22.045,0.042,0.109,0.1,0.12,mag25lim,149.85886409999995,1.782633169,9.9999,0.0,publicSpecZ,0,67,67.0,59.0,67.0
149.85889,1.7209139999999998,24.022,0.042,23.50800000000001,0.037000000000000005,22.874,0.023,23.495,0.032,22.627,0.021,22.33,0.018000000000000002,22.071,0.02,21.45,0.025,0.361,0.34,0.38,mag25lim,149.8589063,1.720902076,0.3683,4.0,publicSpecZ,0,17,16.0,26.0,16.0
149.85905,2.053092,24.431,0.05,24.09,0.048,23.47,0.031,24.056,0.042,23.27,0.028,23.148000000000003,0.026,22.941,0.033,22.542,0.068,0.34600000000000003,0.33,0.36,mag25lim,149.8590696,2.053102923,0.37011465,4.0,publicSpecZ,0,14,12.0,21.0,12.0
149.85905,1.943883,25.1104,0.0772,24.5112,0.0576,24.0812,0.0422,24.6214,0.0563,23.6074,0.0322,22.6511,0.02,21.9645,0.018000000000000002,20.4589,0.1065,1.03,0.95,1.06,Cosmos2006,149.859055,1.943883,0.968,4.0,DEIMOS,0,16,19.0,22.0,19.0
149.85907,2.616086,24.57,0.056,24.087,0.048,23.859,0.037000000000000005,24.233,0.046,23.712,0.034,23.125,0.026,22.697,0.028,21.488000000000003,0.033,0.997,0.99,1.01,mag25lim,149.8590819,2.616113975,1.0101825,2.0,publicSpecZ,0,27,16.0,36.0,16.0
149.85915,1.951763,24.677,0.059,23.889,0.044,23.451,0.032,23.96,0.041,22.871,0.023,22.149,0.016,21.736,0.016,20.351,0.011,0.701,0.65,0.71,mag25lim,149.85915,1.951763,0.57758784,2.0,publicSpecZ,0,35,20.0,30.0,20.0
149.85934,2.467898,25.2217,0.0876,24.8375,0.069,25.0173,0.0739,25.2132,0.0847,24.8685,0.0657,24.6682,0.0649,23.9535,0.0802,99.0,23.2,1.3,1.15,1.43,Cosmos2006,149.859345,2.467894,1.233,4.0,DEIMOS,0,23,21.0,25.0,21.0
149.85949,2.163296,24.8042,0.063,24.4069,0.0544,23.8946,0.0368,24.4544,0.0496,23.6216,0.0318,22.6072,0.0193,22.0807,0.0183,20.4724,0.0907,0.97,0.89,1.0,Cosmos2006,149.8594978,2.163271728,0.7634478,3.0,publicSpecZ,0,52,51.0,41.0,51.0
149.85973,1.85213,23.274,0.028,22.846,0.026,22.235,0.017,22.818,0.023,22.096,0.016,21.896,0.014,21.654,0.015,21.253,0.022,0.337,0.32,0.35,mag25lim,149.859749,1.852099223,0.3382,4.0,publicSpecZ,0,24,27.0,29.0,27.0
149.8598,1.865762,24.501,0.054000000000000006,23.697,0.04,23.392,0.03,23.682,0.035,23.179,0.027000000000000003,22.99,0.025,22.868,0.034,23.217,0.124,0.0,0.01,0.03,mag25lim,149.859814,1.865730929,0.020862851,3.0,publicSpecZ,0,8,8.0,19.0,8.0
149.85981999999996,2.730493,24.572,0.061,24.16,0.05,23.817,0.037000000000000005,24.342,0.048,23.41800000000001,0.03,22.415,0.018000000000000002,21.827,0.017,20.446,0.015,0.87,0.86,0.88,mag25lim,149.85986200000005,2.730505634,0.8716934000000001,3.0,publicSpecZ,0,22,23.0,37.0,23.0
149.85984,2.068585,24.851,0.064,24.57800000000001,0.062,24.894,0.069,24.789,0.066,24.76,0.061,24.29300000000001,0.048,23.965,0.07200000000000001,23.332,0.135,1.019,0.99,1.12,mag25lim,149.859833,2.0685860000000003,1.077,4.0,DEIMOS,0,13,19.0,16.0,19.0
149.86028000000005,2.544767,23.0682,0.0247,23.24,0.0307,23.3367,0.0278,22.8422,0.0217,23.4155,0.0293,22.9828,0.0236,22.789,0.0318,21.4089,0.2241,1.42,1.41,1.42,Cosmos2006,149.860313,2.544762581,0.99050957,2.0,publicSpecZ,0,8,8.0,15.0,8.0
149.86071,2.634847,24.4849,0.0532,24.1005,0.0468,23.998,0.0391,24.3171,0.0467,23.8593,0.0366,23.2094,0.0268,22.7636,0.0298,22.0115,0.3912,0.96,0.81,1.08,Cosmos2006,149.86071,2.634856,0.7398363,3.0,publicSpecZ,0,22,12.0,27.0,12.0
149.86083,2.380503,24.5389,0.0543,22.7797,0.0246,21.6234,0.0121,22.6017,0.0194,20.7855,0.0082,20.1534,0.006,19.6842,0.0051,18.6574,0.0218,0.41,0.38,0.45,Cosmos2006,149.8608601,2.380483596,0.4259,4.0,publicSpecZ,0,15,17.0,27.0,17.0
149.86093,2.163797,22.9275,0.0229,22.2016,0.0187,21.8677,0.0136,22.3221,0.0169,21.9304,0.014,21.8542,0.0134,21.7852,0.0153,22.3367,0.4920000000000001,0.17,0.14,2.53,Cosmos2006,149.8609524,2.163768006,0.3969927,4.0,publicSpecZ,0,23,27.0,30.0,27.0
149.86128,2.116031,24.542,0.054000000000000006,24.022,0.046,24.02,0.041,24.268,0.047,24.079,0.041,24.01,0.041,23.858,0.064,22.97300000000001,0.099,2.04,2.02,2.09,mag25lim,149.8612987,2.116031504,0.2932994,2.0,publicSpecZ,0,22,22.0,34.0,22.0
149.86131,1.812359,23.575,0.033,22.779,0.026,22.273000000000003,0.017,22.787,0.022,22.173,0.016,21.86,0.014,21.72300000000001,0.016,21.265,0.022,0.225,0.22,0.24,mag25lim,149.861333,1.812333203,0.2208,3.0,publicSpecZ,0,14,13.0,26.0,13.0
149.86135,2.091353,25.094,0.07400000000000001,24.794,0.069,24.872,0.066,24.911,0.07,24.801,0.062,24.311,0.049,23.899,0.065,23.927,0.23,1.117,1.1,1.13,mag25lim,149.861343,2.091353,0.9273,4.0,DEIMOS,0,13,17.0,12.0,17.0
149.86136000000005,1.901624,26.87,0.261,25.374,0.099,24.797,0.067,25.298,0.093,24.295,0.05,23.872,0.04,23.505,0.059,22.636,0.073,0.113,0.1,0.13,mag25lim,149.8613823,1.901588852,0.897,2.0,publicSpecZ,0,13,10.0,20.0,10.0
149.86145,2.028124,23.58,0.033,22.739,0.025,22.512,0.019,22.846,0.023,22.469,0.019,22.245,0.017,22.083,0.02,22.154,0.051,0.08900000000000001,0.08,0.1,mag25lim,149.86147869999996,2.028118909,0.08686115,3.0,publicSpecZ,0,39,45.0,50.0,45.0
149.86175,2.494932,99.0,28.7,27.0828,0.2981,26.5514,0.2341,27.2366,0.3783,25.5355,0.1039,24.587,0.0615,23.8458,0.0773,99.0,23.2,0.7,0.65,1.14,Cosmos2006,149.86175500000004,2.494928,4.413,1.0,DEIMOS,1,18,14.0,10.0,23.0
149.86177,2.193131,25.861,0.118,25.563,0.11,25.233,0.08199999999999999,25.66,0.109,25.075,0.075,24.026,0.043,23.362,0.045,22.631,0.07400000000000001,0.815,0.8,0.94,mag25lim,149.8617764,2.193093139,0.9473,4.0,publicSpecZ,0,15,18.0,29.0,18.0
149.86181000000005,2.495861,23.7869,0.0363,23.3414,0.0322,23.1345,0.0255,23.4917,0.0304,22.8156,0.0217,22.1702,0.0157,21.8424,0.0172,21.4223,0.2313,0.77,0.72,0.82,Cosmos2006,149.8618407,2.495830624,0.39425692,2.0,publicSpecZ,0,21,23.0,27.0,23.0
149.86194,2.48003,25.975,0.14400000000000002,25.28,0.094,24.699,0.063,25.305,0.095,24.07800000000001,0.044,23.221,0.028,22.82,0.034,21.163,0.022,0.725,0.71,0.74,mag25lim,149.86196,2.480028,0.727,4.0,DEIMOS,0,24,23.0,35.0,23.0
149.8623,2.768121,24.212,0.051,23.91,0.044,23.574,0.032,24.055,0.042,23.514,0.031,23.094,0.026,23.23,0.046,23.528,0.219,0.085,0.07,0.09,mag25lim,149.8623123,2.768111144,0.41845906,4.0,publicSpecZ,0,12,13.0,21.0,13.0
149.86236,2.539172,25.4288,0.0967,24.7166,0.0645,24.0218,0.0401,24.7554,0.0618,23.8034,0.0357,23.4814,0.031,23.2512,0.044,23.2211,1.2328,0.28,0.19,0.36,Cosmos2006,149.8623929,2.539158725,0.18960409,2.0,publicSpecZ,0,17,16.0,37.0,16.0
149.86251,2.301092,24.95,0.06,24.225,0.049,23.849,0.035,24.283,0.043,23.798,0.034,23.574,0.03,23.407,0.033,23.113000000000003,0.055,0.101,0.09,0.11,mag25lim,149.86251,2.301092,0.16111052,2.0,publicSpecZ,0,42,52.0,54.0,52.0
149.86265,1.922615,25.34,0.08800000000000001,24.963,0.078,24.956,0.076,25.145,0.08800000000000001,24.676,0.062,24.248,0.05,23.791,0.07,23.724,0.192,0.731,0.71,0.75,mag25lim,149.86265600000004,1.922614,0.737,4.0,DEIMOS,0,15,11.0,22.0,11.0
149.8628,2.855861,23.417,0.033,22.958,0.028,22.447,0.019,23.07,0.025,22.182,0.016,21.9,0.014,21.645,0.015,21.133000000000006,0.024,0.423,0.41,0.43,mag25lim,149.86279299999995,2.855861,0.418,4.0,DEIMOS,0,23,27.0,39.0,27.0
149.8628,2.603943,24.0971,0.0426,23.6951,0.0387,23.6098,0.0324,23.9224,0.0375,23.422,0.0296,22.9924,0.0242,22.32,0.023,21.3575,0.2348,1.26,1.13,1.36,Cosmos2006,149.8628,2.603945,1.237,2.0,DEIMOS,0,36,45.0,41.0,45.0
149.86293,2.337611,24.1598,0.0433,23.5501,0.0355,23.4374,0.0291,23.7268,0.0337,23.4029,0.0286,23.299,0.0277,23.1135,0.0392,21.6755,0.3277,2.31,2.04,2.33,Cosmos2006,149.8629676,2.337585925,0.20968866,4.0,publicSpecZ,0,20,25.0,29.0,25.0
149.86317,2.166342,28.237,0.742,26.219,0.156,25.479,0.099,26.466,0.191,25.195,0.077,25.07800000000001,0.084,24.773000000000003,0.141,23.719,0.197,3.377,3.29,3.45,mag25lim,149.863174,2.166342,3.172,1.0,DEIMOS,0,11,30.0,51.0,30.0
149.86323000000004,2.171421,23.879,0.038,23.591,0.037000000000000005,23.433000000000003,0.03,23.78,0.036000000000000004,23.386,0.029,22.765,0.021,22.443,0.023,21.816,0.036000000000000004,0.944,0.93,0.96,mag25lim,149.86325680000004,2.171388446,0.9356371,3.0,publicSpecZ,0,25,25.0,32.0,25.0
149.86325,1.870619,23.9975,0.0403,23.6901,0.0383,23.2832,0.0274,23.8472,0.0375,22.9484,0.0231,22.6918,0.0205,22.4823,0.0255,22.0358,0.4423,0.5,0.4,0.53,Cosmos2006,149.863251,1.870611,0.4964,2.0,DEIMOS,0,13,18.0,25.0,18.0
149.86333,1.870604,23.896,0.039,23.61,0.038,23.232,0.028,23.779,0.038,22.901,0.023,22.658,0.021,22.462,0.026,22.13300000000001,0.048,0.489,0.48,0.5,mag25lim,149.8633364,1.870572279,0.47946933,4.0,publicSpecZ,0,8,13.0,19.0,13.0
149.86338,2.617818,27.039,0.311,26.351,0.185,26.642,0.234,26.547,0.237,25.807,0.127,25.104,0.091,23.919,0.078,21.728,0.043,1.342,1.3,1.42,mag25lim,149.8633905,2.61778796,1.1309751,2.0,publicSpecZ,0,16,15.0,16.0,15.0
149.8634,2.570316,22.63,0.021,22.053,0.018000000000000002,21.58,0.012,22.049,0.015,21.456,0.012,21.231,0.01,21.124,0.011,20.718000000000004,0.018000000000000002,0.246,0.24,0.26,mag25lim,149.8634081,2.57030106,0.2472,4.0,publicSpecZ,0,24,33.0,45.0,33.0
149.86355,2.568604,24.174,0.045,23.789,0.042,23.525,0.032,23.936,0.04,23.345,0.029,22.595,0.02,22.147,0.02,21.043000000000006,0.024,0.918,0.91,0.93,mag25lim,149.86355880000005,2.568605855,0.9816116,3.0,publicSpecZ,0,40,38.0,48.0,38.0
149.86378,1.765193,23.528,0.032,22.611,0.024,22.28,0.017,22.671,0.021,22.2,0.016,21.971,0.015,21.824,0.017,21.61,0.029,0.115,0.1,0.13,mag25lim,149.86379419999997,1.765173066,0.123,3.0,publicSpecZ,0,32,39.0,43.0,39.0
149.86383999999995,2.156359,25.301,0.08199999999999999,24.412,0.057,24.171,0.045,24.608,0.059,24.154,0.046,23.922,0.04,23.76,0.065,22.21,0.05,2.311,2.27,2.35,mag25lim,149.8638718,2.156337449,0.042814456,2.0,publicSpecZ,0,17,13.0,22.0,13.0
149.86398,1.807073,25.674,0.11,24.147,0.05,23.026,0.025,23.954,0.041,22.135,0.016,21.366,0.011,20.9,0.01,19.565,0.01,0.455,0.44,0.47,mag25lim,149.8639939,1.807047195,0.5289,4.0,publicSpecZ,0,23,22.0,40.0,22.0
149.86413000000005,2.48405,23.9136,0.0394,23.4775,0.0348,23.2807,0.0278,23.5891,0.032,22.8982,0.0228,22.3079,0.0169,22.0059,0.0191,21.0591,0.1679,0.7,0.61,0.73,Cosmos2006,149.86416409999995,2.484009114,0.45308158,2.0,publicSpecZ,0,38,36.0,47.0,36.0
149.86413000000005,2.355127,25.39,0.0917,24.7377,0.0649,24.5715,0.0543,24.844,0.0624,24.4425,0.0495,23.9513,0.0405,23.2785,0.0451,21.6157,0.3108,1.5,1.4,1.78,Cosmos2006,149.864136,2.355128,1.462,1.0,DEIMOS,0,9,12.0,13.0,12.0
149.86417,2.475293,25.6704,0.1225,25.0922,0.0826,24.9406,0.0741,25.3585,0.0891,24.661,0.0596,23.9656,0.0421,23.0835,0.0421,21.2034,0.1914,1.31,1.24,1.47,Cosmos2006,149.86416599999995,2.475289,1.365,3.0,DEIMOS,0,23,18.0,27.0,18.0
149.8642,1.882242,25.7527,0.123,24.9375,0.073,24.4912,0.0533,25.0444,0.0732,23.972,0.0391,23.2922,0.0279,22.9127,0.0347,21.7461,0.3155,0.61,0.52,0.68,Cosmos2006,149.8642031,1.882206917,0.66249037,2.0,publicSpecZ,0,13,19.0,22.0,19.0
149.86457,2.616857,24.379,0.051,23.991,0.046,23.696,0.035,24.107,0.044,23.459,0.03,22.666,0.021,22.193,0.021,21.089,0.025,0.912,0.9,0.92,mag25lim,149.864569,2.616817549,0.9401731,2.0,publicSpecZ,0,18,22.0,25.0,22.0
149.86469,2.345414,24.14,0.0428,23.4842,0.0344,22.9874,0.0233,23.5104,0.0301,22.7702,0.0209,22.5388,0.0188,22.3802,0.0231,22.7462,0.8438,0.23,0.21,0.29,Cosmos2006,149.8647209,2.345392308,0.2455842,4.0,publicSpecZ,0,15,21.0,28.0,21.0
149.86471,2.646459,25.502,0.101,25.215,0.092,24.863000000000003,0.071,25.395,0.093,24.525,0.059,23.727,0.039,23.102,0.04,21.625,0.039,1.107,1.07,1.12,mag25lim,149.8647011,2.646411934,1.0241495,2.0,publicSpecZ,0,26,37.0,23.0,34.0
149.8649,1.875005,25.57800000000001,0.102,25.243,0.09,25.107,0.081,25.296,0.08900000000000001,24.874,0.067,24.332,0.052000000000000005,23.57,0.057,22.505,0.065,1.285,1.1,1.43,mag25lim,149.864899,1.875003,1.266,3.0,DEIMOS,0,18,5.0,45.0,5.0
149.86503000000005,1.7457740000000002,26.014,0.14,24.038,0.047,22.797,0.022,23.73,0.036000000000000004,21.894,0.014,20.914,0.01,20.423,0.01,19.127,0.01,0.5579999999999999,0.55,0.57,mag25lim,149.86506409999996,1.745756773,0.5606,3.0,publicSpecZ,0,14,14.0,26.0,14.0
149.86535,2.376574,24.063,0.042,23.663,0.039,23.105,0.025,23.706,0.035,22.888,0.023,22.666,0.021,22.389,0.025,21.88,0.045,0.354,0.34,0.37,mag25lim,149.86538269999997,2.376559839,0.4241965999999999,2.0,publicSpecZ,0,18,20.0,27.0,20.0
149.86571,2.181764,26.509,0.18600000000000005,25.542,0.103,25.185,0.079,25.609,0.103,24.785,0.061,23.923,0.04,23.402,0.046,21.995,0.042,0.934,0.91,0.98,mag25lim,149.865721,2.181761956,0.9487,3.0,publicSpecZ,0,23,22.0,45.0,22.0
149.86577,2.680141,26.298,0.185,25.345,0.096,24.309,0.048,25.38300000000001,0.09,23.397,0.029,22.202,0.016,21.23,0.012,19.641,0.01,0.996,0.98,1.01,mag25lim,149.8657992,2.680121561,0.9927063,4.0,publicSpecZ,0,12,17.0,19.0,17.0
149.86597,2.391521,24.019,0.042,23.713,0.04,23.591,0.033,23.913,0.04,23.464,0.031,23.048,0.025,22.497,0.026,21.488000000000003,0.03,1.212,1.2,1.22,mag25lim,149.86596699999996,2.391521,1.21,4.0,DEIMOS,0,18,22.0,25.0,22.0
149.86603,2.2488900000000003,23.8504,0.0368,22.5264,0.0217,21.3588,0.0107,22.3477,0.0171,20.8728,0.0086,20.5057,0.0071,20.004,0.0059,19.0688,0.0245,0.28,0.17,0.3,Cosmos2006,149.8660623,2.24888237,0.28215614,4.0,publicSpecZ,0,14,18.0,23.0,18.0
149.86611000000005,2.399622,26.004,0.141,24.811,0.077,23.934,0.041,24.809,0.071,23.685,0.036000000000000004,23.25800000000001,0.029,23.025,0.039,23.125,0.139,0.095,0.08,0.11,mag25lim,149.86613190000003,2.399601911,0.14155859,2.0,publicSpecZ,0,8,8.0,13.0,8.0
149.86661999999995,2.21495,24.8375,0.0652,24.2253,0.0492,23.8866,0.0364,24.3508,0.0466,23.3687,0.028,22.8124,0.0214,22.5153,0.0241,21.6953,0.268,0.63,0.59,0.67,Cosmos2006,149.8666464,2.214926653,0.5069627,3.0,publicSpecZ,0,11,16.0,23.0,16.0
149.86678,2.242751,25.099,0.073,24.679,0.065,24.297,0.047,24.791,0.064,23.91800000000001,0.038,22.978,0.024,22.435,0.024,21.022,0.019,0.872,0.86,0.89,mag25lim,149.8668119,2.242748157,9.9999,0.0,publicSpecZ,0,44,39.0,35.0,39.0
149.86695,2.7606,24.8093,0.0814,24.3386,0.0528,24.0048,0.0393,24.4898,0.0505,23.8177,0.0357,23.0687,0.0253,22.5769,0.0273,21.2252,0.2999,0.98,0.84,1.03,Cosmos2006,149.8669815,2.760585884,0.75174147,2.0,publicSpecZ,0,31,40.0,49.0,40.0
149.86698,2.488103,27.07,0.34,26.798,0.258,26.091,0.17800000000000002,26.713,0.27,25.468000000000004,0.101,24.771,0.07200000000000001,24.398000000000003,0.116,23.514,0.174,0.722,0.6,0.77,mag25lim,149.866974,2.488103,0.7335,3.0,DEIMOS,0,18,7.0,28.0,7.0
149.86708000000004,2.246799,27.3515,0.412,26.1116,0.1386,24.9471,0.066,26.0327,0.1343,24.1585,0.042,22.9773,0.0234,22.1342,0.0193,21.1117,0.1575,0.91,0.88,0.95,Cosmos2006,149.867105,2.246789274,0.8663943000000001,3.0,publicSpecZ,0,17,17.0,27.0,17.0
149.86713999999995,2.158576,25.101,0.073,24.584,0.063,23.882,0.038,24.626,0.059,23.592,0.032,23.343000000000004,0.029,23.05,0.036000000000000004,22.687,0.08,0.353,0.34,0.39,mag25lim,149.86717280000005,2.158548123,0.38500443,3.0,publicSpecZ,0,12,19.0,21.0,19.0
149.86715,1.650451,23.6656,0.0368,23.2369,0.0306,23.004,0.0236,23.3421,0.028,22.7478,0.0208,21.9922,0.0146,21.6536,0.0143,20.6566,0.1065,0.76,0.71,0.91,Cosmos2006,149.867169,1.650417648,0.8385,3.0,publicSpecZ,0,42,29.0,53.0,29.0
149.86755,2.447906,24.063,0.043,23.748,0.041,23.70300000000001,0.035,23.943,0.041,23.555,0.033,23.199,0.027000000000000003,22.584,0.029,21.63,0.032,1.276,1.26,1.29,mag25lim,149.867554,2.447906,1.318,4.0,DEIMOS,0,58,51.0,50.0,51.0
149.86763,2.536976,21.861,0.014,21.103,0.012,20.403,0.01,21.063,0.01,20.204,0.01,19.826,0.01,19.55,0.01,18.587,0.01,0.265,0.25,0.28,mag25lim,149.867627,2.536941874,0.24972445,4.0,publicSpecZ,0,50,63.0,79.0,63.0
149.86768999999995,2.755361,23.447,0.033,23.22300000000001,0.032,23.13,0.026,23.411,0.03,23.141,0.026,22.511,0.019,22.268,0.023,22.031,0.06,0.91,0.9,0.92,mag25lim,149.867698,2.7553411060000004,0.9143756,4.0,publicSpecZ,0,36,41.0,55.0,41.0
149.86776,2.035401,26.066,0.136,25.235,0.09,25.063,0.078,25.637,0.108,25.076,0.07400000000000001,24.36,0.051,23.796,0.065,21.915,0.041,1.472,1.42,1.52,mag25lim,149.86777460000005,2.03541096,1.6098,4.0,publicSpecZ,0,9,13.0,8.0,13.0
149.86813999999995,2.086323,24.195,0.045,23.805,0.042,23.236,0.027000000000000003,23.84,0.039,22.941,0.023,22.708,0.021,22.409,0.022,21.673,0.031,0.374,0.36,0.39,mag25lim,149.868153,2.0863087780000003,0.3723,2.0,publicSpecZ,0,36,34.0,44.0,34.0
